"","Aa","Ab","Ac","Ad","Ae","Af","ST01","SU02","D03","ST04","SU05","D06","D07","SU08","ST09","SU10","D11","ST12","SU13","D14","D15","SU16","ST17","SU18","D19","ST20","SU21","D22","D23","SU24","ST25","SU26","D27","ST28","SU29","D30","D31","SU32","Ca","Cb","Cc","Cd","Ce","Cf","Cg","Ch","Da","Db","Dc","Dd","De","Df","Dg","Dh","Di","Dj","Age","Attitude","Points","gender"
"109",3,1,2,1,1,1,4,1,5,4,2,5,5,1,5,1,4,4,1,4,4,2,4,1,4,5,1,3,4,2,5,2,4,4,1,2,4,4,2,5,4,4,4,3,4,2,4,5,5,5,5,4,4,5,5,5,22,47,31,"M"
"110",3,2,3,1,1,1,3,5,5,4,5,4,5,2,2,2,5,3,3,4,4,2,3,4,5,2,2,3,5,2,2,3,5,2,2,5,5,3,1,5,4,5,4,3,4,3,4,4,4,5,4,2,3,2,4,4,20,36,27,"F"
"111",3,1,2,1,1,1,4,2,4,4,3,2,4,2,5,2,4,3,3,4,2,4,4,2,4,3,2,2,4,4,5,5,5,4,2,4,5,5,3,5,5,5,3,3,4,4,4,5,5,5,5,1,3,1,2,5,20,36,25,"F"
"112",4,3,4,3,4,3,4,5,4,3,2,3,4,2,3,1,3,1,5,5,2,2,2,3,4,3,1,4,2,2,4,5,3,2,4,5,5,3,4,4,3,4,4,2,3,5,2,5,4,3,2,2,3,2,3,3,24,29,23,"M"
"113",1,1,1,1,1,1,4,2,5,5,1,3,5,2,4,4,4,2,3,5,4,2,3,2,4,1,3,2,3,2,2,5,4,1,2,4,3,4,2,5,5,4,5,2,4,4,2,5,4,5,4,2,3,2,4,4,20,35,21,"F"
"114",4,3,2,2,1,2,2,3,4,2,2,3,2,4,1,2,3,1,4,3,4,4,2,4,2,1,1,2,2,3,1,4,2,1,1,2,2,4,2,4,3,3,3,3,4,4,4,4,5,4,4,4,5,4,3,3,19,40,27,"F"
"115",3,2,2,1,1,1,4,3,4,2,4,3,4,3,2,2,4,2,2,3,2,2,3,2,4,2,2,4,3,4,1,3,4,2,2,3,4,4,3,5,4,3,3,4,4,3,2,4,4,5,3,2,3,3,4,5,21,35,28,"F"
"116",2,1,1,2,1,1,3,3,3,4,4,2,2,2,4,3,4,4,2,4,2,3,4,4,4,2,2,2,4,3,4,5,4,4,1,3,3,5,5,5,5,5,5,3,3,4,3,3,2,5,3,2,1,5,5,3,21,32,23,"F"
"117",2,1,2,1,1,1,5,1,5,4,4,4,5,2,3,1,5,3,2,4,4,3,3,1,2,4,2,4,4,2,5,5,4,3,2,5,5,5,2,5,3,3,4,4,4,5,2,4,4,3,2,1,1,2,3,4,22,26,21,"F"
"118",4,2,2,1,2,2,4,1,5,4,4,2,2,2,4,2,5,4,1,2,2,2,4,1,4,2,2,1,4,2,5,5,5,5,1,2,4,5,2,5,4,5,5,2,4,4,2,4,1,4,1,1,1,1,1,4,25,20,25,"F"
"119",2,1,2,2,1,2,4,2,4,4,5,3,4,2,2,1,4,4,2,4,2,4,3,1,2,2,4,3,2,4,4,5,2,2,3,3,4,3,2,4,3,2,5,4,5,3,2,4,3,2,3,1,3,2,2,5,21,27,11,"F"
"120",2,1,1,2,2,1,4,4,4,4,2,4,4,3,2,2,4,4,2,5,4,3,2,2,5,2,4,4,4,2,4,4,4,4,3,4,4,5,4,5,4,3,4,2,4,4,3,4,4,4,4,2,3,2,2,4,22,32,19,"F"
"121",1,2,2,2,2,2,2,4,3,2,5,2,1,2,4,4,3,1,4,2,2,4,4,4,4,1,4,2,2,4,2,5,2,1,3,2,2,5,5,3,4,5,5,2,2,5,3,4,5,3,5,1,4,1,2,5,25,33,24,"F"
"122",4,1,3,2,1,1,4,4,5,3,2,3,4,2,3,2,3,2,3,4,3,2,3,4,3,2,4,2,2,4,4,4,4,2,3,3,4,5,4,4,3,2,5,3,3,3,4,4,4,4,4,3,4,4,4,4,20,39,28,"F"
"123",3,2,2,2,1,1,2,5,2,1,4,3,3,3,1,4,4,2,4,3,4,3,2,3,3,2,2,2,2,3,1,5,3,1,3,4,4,3,3,2,2,2,3,3,2,1,3,3,4,3,4,2,4,3,2,5,24,33,21,"M"
"124",2,2,1,1,1,1,3,4,3,3,4,3,3,4,4,3,3,2,3,3,2,4,3,2,3,1,3,2,2,4,2,4,3,2,3,3,3,4,4,4,3,4,5,2,3,4,3,3,4,4,4,2,3,2,2,3,20,30,24,"F"
"125",2,2,3,1,1,2,4,1,4,3,4,4,4,4,4,2,2,4,5,3,2,4,3,4,4,2,3,3,4,5,4,5,2,2,4,4,3,5,3,3,4,5,3,2,4,4,4,4,4,4,4,2,4,5,3,3,21,37,24,"M"
"126",3,1,3,1,1,1,5,3,5,4,4,4,3,3,4,2,4,3,2,4,3,2,3,3,4,4,3,4,2,3,2,5,3,1,2,4,5,5,5,5,4,4,4,2,4,4,1,2,1,2,2,1,1,1,1,2,26,14,0,"F"
"127",4,1,1,1,1,1,4,3,5,3,2,5,5,4,2,2,5,4,2,5,4,2,3,1,4,2,2,5,4,4,1,2,5,1,1,5,5,5,4,5,5,3,4,4,5,4,3,4,4,3,4,1,3,1,3,4,28,30,0,"M"
"128",3,2,2,1,1,1,4,2,4,3,3,5,4,3,4,1,4,4,3,4,3,3,5,1,5,4,3,4,3,4,2,4,4,3,3,3,5,5,4,5,4,4,5,3,3,3,3,4,3,1,3,1,3,2,1,4,20,25,20,"F"
"129",2,2,1,1,1,2,4,2,4,4,2,3,4,2,4,1,3,3,1,4,2,3,3,1,4,5,1,4,4,2,4,5,4,4,1,3,4,5,2,4,4,3,4,1,3,4,2,3,3,4,4,1,3,2,4,3,20,29,19,"F"
"130",4,1,1,1,1,1,4,1,4,3,2,4,5,1,4,1,4,5,2,5,3,1,3,1,4,4,2,5,3,1,4,2,4,4,2,4,4,4,3,5,4,4,5,5,5,4,3,5,4,3,4,3,3,5,4,5,31,39,30,"M"
"131",4,1,1,1,1,1,2,1,5,2,3,4,5,2,4,1,4,2,2,5,3,3,2,1,4,2,3,4,3,2,3,2,5,2,2,4,5,3,3,5,4,4,3,4,5,4,2,5,5,5,5,1,3,2,3,5,20,36,22,"F"
"132",3,2,3,2,1,1,4,1,4,4,4,3,4,3,4,1,4,3,2,5,3,4,3,1,5,1,3,3,2,4,3,5,3,2,2,3,2,4,2,4,3,2,4,1,3,3,2,4,2,4,2,2,2,5,2,4,22,29,16,"F"
"133",5,1,2,1,1,2,4,2,4,4,4,2,3,2,4,3,2,2,4,4,2,4,4,2,4,3,4,4,2,4,4,4,2,2,4,4,4,4,2,4,3,4,4,2,3,4,2,2,2,1,2,2,2,2,2,4,22,21,16,"F"
"134",4,2,2,2,2,2,3,4,4,2,4,3,4,4,2,2,3,4,4,4,4,3,3,2,3,3,2,3,3,4,3,3,3,2,3,4,4,5,3,4,4,4,5,3,4,5,2,3,4,3,3,2,3,4,3,4,21,31,19,"M"
"135",2,2,1,1,1,1,4,2,5,4,4,3,5,5,4,3,5,4,2,4,2,4,5,2,4,1,4,4,3,5,1,4,4,2,2,4,4,5,3,4,4,4,4,3,3,4,1,4,3,1,3,1,1,5,1,4,20,24,0,"F"
"136",3,1,1,1,1,1,5,2,4,4,2,3,2,2,4,2,4,4,4,4,4,2,5,1,2,5,2,4,4,2,5,5,4,4,2,4,5,5,1,4,4,2,4,2,4,2,4,4,5,4,5,2,3,5,4,4,22,40,30,"M"
"137",4,1,2,1,1,1,4,1,5,4,3,3,5,4,4,1,5,2,2,5,4,4,3,1,4,1,4,5,4,4,1,4,3,2,2,4,4,4,4,5,4,4,4,5,5,2,2,5,4,1,4,2,2,4,2,5,21,31,23,"F"
"138",3,2,2,1,1,1,2,3,5,3,4,4,5,4,3,2,4,2,2,5,4,4,4,2,4,1,2,4,4,4,5,5,4,2,3,4,4,5,4,5,3,4,5,1,5,4,2,3,4,1,3,1,3,1,1,4,21,23,19,"F"
"139",2,2,2,1,1,1,3,3,5,3,3,3,4,4,4,2,4,3,2,5,4,5,5,1,4,2,2,3,3,3,4,5,5,2,2,3,3,4,3,4,4,5,5,2,4,3,2,3,2,5,2,3,2,3,3,3,21,28,18,"F"
"140",5,1,1,1,1,1,5,3,5,5,2,3,4,2,5,5,5,5,1,5,5,4,1,4,5,2,1,5,5,2,5,5,5,5,1,1,5,1,5,1,1,5,1,1,1,1,3,5,5,4,5,1,2,5,2,5,21,37,28,"F"
"141",3,1,3,2,1,1,4,2,4,2,2,3,4,2,4,2,4,2,2,4,3,2,4,1,3,2,2,2,4,2,5,5,4,4,2,3,4,5,4,4,4,2,5,2,3,4,3,4,4,1,4,1,2,2,2,3,20,26,21,"F"
"142",2,1,1,1,1,1,4,2,5,2,5,4,5,2,2,4,4,4,2,5,1,4,3,1,5,4,5,2,2,4,1,5,2,2,5,4,4,4,4,5,2,4,4,4,4,3,2,4,4,1,4,1,2,1,1,4,21,24,19,"F"
"143",3,1,2,1,1,1,5,1,4,4,2,4,4,1,4,1,4,4,2,4,2,2,3,1,5,4,2,2,3,2,5,4,4,4,2,4,4,5,4,4,4,4,4,3,5,5,4,4,4,2,4,1,4,2,1,4,25,30,27,"F"
"144",4,2,3,2,1,1,4,3,4,4,3,4,5,3,4,2,4,2,3,4,5,2,2,1,4,2,3,4,4,2,4,5,4,2,4,5,4,2,1,5,2,2,3,3,5,3,3,3,2,3,4,2,3,4,3,2,27,29,0,"F"
"145",1,1,1,1,2,1,4,4,3,5,4,4,3,4,4,3,4,4,5,4,4,3,4,4,4,5,4,3,4,4,3,4,5,4,4,3,4,4,5,4,4,4,4,2,2,5,4,4,3,4,3,2,3,3,3,3,20,32,0,"F"
"146",3,2,1,1,1,1,4,4,3,2,3,2,2,5,4,5,2,3,4,2,2,5,4,2,3,3,5,1,2,5,2,5,2,4,4,2,2,5,5,4,2,5,5,1,1,5,3,4,3,2,3,2,2,3,2,4,21,28,24,"M"
"147",3,1,2,1,1,1,3,2,4,3,2,4,4,2,3,2,5,3,2,5,4,4,3,2,5,2,2,5,4,3,4,5,3,2,2,4,4,4,3,5,4,4,5,2,4,4,1,4,4,3,4,1,3,3,2,4,24,29,21,"F"
"148",4,1,2,1,1,1,3,3,4,2,4,3,4,2,3,2,5,4,2,4,2,4,4,1,4,2,4,3,2,2,4,4,4,1,3,4,4,5,5,5,4,3,5,2,3,5,2,3,2,4,2,2,1,3,4,1,20,24,20,"F"
"149",4,3,4,5,4,5,3,1,5,3,4,4,4,2,3,2,4,3,2,4,2,4,2,1,4,2,2,4,4,4,1,4,4,2,1,4,5,5,5,5,3,3,4,3,5,4,2,4,4,3,4,2,3,3,2,4,21,31,28,"M"
"150",3,2,2,1,1,1,4,1,4,4,3,3,4,2,4,1,4,4,2,4,4,2,3,1,3,4,3,4,2,1,5,5,3,3,2,4,1,3,3,4,4,4,4,4,4,3,1,2,3,2,4,1,1,1,1,3,20,19,12,"F"
"151",3,4,3,2,1,1,4,3,4,1,2,2,4,3,4,2,4,2,2,5,4,3,2,1,4,2,3,2,1,2,1,5,4,1,3,4,4,3,1,4,4,3,4,2,5,2,2,3,1,2,1,2,1,5,1,2,20,20,21,"F"
"152",3,2,2,2,1,2,5,1,4,4,2,2,4,1,4,1,3,4,3,4,2,3,3,1,4,4,4,2,2,2,5,3,4,3,2,3,4,4,4,4,4,4,3,3,4,4,3,4,4,5,4,2,4,3,4,5,18,38,28,"F"
"153",3,2,2,3,1,2,4,3,4,4,2,2,4,2,4,2,4,3,2,4,3,2,3,2,4,2,4,3,4,2,5,4,3,1,3,4,4,4,2,5,5,5,5,3,4,2,3,4,4,5,3,1,4,2,4,4,21,34,31,"F"
"154",4,1,1,1,1,1,3,4,4,2,4,4,3,2,3,4,4,2,3,4,2,4,2,2,3,3,1,3,3,4,5,5,3,1,2,4,4,5,3,4,4,3,5,3,4,5,1,4,4,5,4,4,2,4,5,4,19,37,18,"F"
"155",4,1,2,1,1,1,4,5,5,3,4,3,5,3,3,4,5,3,1,5,3,1,4,5,4,2,2,5,4,3,2,5,5,1,5,5,2,4,4,5,3,5,5,4,4,5,3,4,4,3,4,1,2,2,3,3,21,29,25,"F"
"156",2,3,3,1,1,2,4,2,5,4,3,2,3,2,4,1,4,4,3,3,4,3,4,1,4,3,2,2,4,4,5,5,2,4,3,2,4,4,2,4,3,4,4,2,2,4,2,4,2,4,2,1,2,1,1,4,20,23,19,"F"
"157",2,1,2,1,1,1,3,2,4,3,4,5,4,1,4,1,4,3,2,5,4,1,2,1,4,2,2,4,4,2,4,2,5,3,2,5,5,4,4,4,3,5,5,4,5,5,4,4,5,4,4,3,4,4,4,5,21,41,21,"M"
"158",4,3,2,2,1,1,4,3,4,4,3,3,4,2,2,2,3,2,2,4,3,3,4,1,3,2,2,3,3,4,5,4,3,4,3,3,3,5,3,4,4,3,4,4,3,4,2,4,3,3,3,1,2,2,3,4,20,27,16,"F"
"159",2,1,2,3,1,1,4,5,5,4,3,4,5,5,4,1,4,2,2,4,2,5,3,5,4,4,2,2,4,5,5,1,4,5,3,4,5,5,5,5,4,5,5,3,4,4,1,5,5,4,5,1,3,2,4,5,21,35,7,"F"
"160",4,2,3,1,2,2,4,3,4,2,1,4,4,2,3,1,4,4,2,4,4,2,4,1,3,1,4,3,4,3,5,5,4,3,2,3,2,4,5,5,4,4,5,4,4,2,4,5,3,2,4,2,3,4,2,5,20,34,21,"F"
"161",3,2,3,1,1,1,4,5,5,4,3,3,5,2,4,1,5,2,2,5,5,3,4,4,5,2,2,4,3,4,5,4,4,2,3,5,5,5,3,5,4,4,4,4,5,3,2,5,4,4,4,1,3,2,2,5,18,32,17,"F"
"162",2,3,2,2,1,2,4,1,5,3,2,3,2,4,3,3,4,5,4,4,3,3,5,1,3,5,4,3,4,4,5,5,3,3,1,4,5,5,5,4,3,5,5,3,4,5,3,4,4,3,2,4,2,5,3,3,22,33,22,"M"
"163",4,1,2,1,1,1,4,2,5,4,4,3,4,3,4,2,4,4,3,4,3,4,3,1,2,3,3,3,4,3,4,3,4,2,3,4,4,4,4,3,3,4,5,3,4,3,2,4,3,4,2,3,3,5,3,4,22,33,18,"F"
"164",3,2,2,3,1,1,2,3,3,2,3,2,2,4,3,3,2,1,3,3,4,5,2,2,3,1,1,1,2,5,4,5,1,1,2,5,3,2,2,5,3,5,3,2,3,4,2,3,4,5,3,3,3,5,4,3,24,35,25,"M"
"165",2,1,1,1,1,1,2,2,4,4,3,3,5,2,4,1,4,4,3,5,4,2,3,2,4,4,1,4,4,2,5,4,4,3,3,4,5,5,4,5,4,3,5,3,5,4,2,4,4,4,4,2,3,3,2,4,19,32,24,"F"
"166",3,1,2,1,1,1,4,3,4,4,4,3,3,4,4,3,4,2,4,4,2,4,3,3,3,2,4,2,3,5,5,5,4,3,3,3,4,4,5,4,4,5,5,3,3,5,3,3,4,4,3,1,3,2,4,4,20,31,23,"F"
"167",2,4,4,5,5,4,2,2,4,1,2,3,4,1,2,2,3,3,2,5,2,2,3,4,4,2,4,3,2,2,4,5,4,1,4,5,4,4,2,5,3,3,4,3,3,4,1,4,2,4,3,1,2,2,1,4,21,24,0,"F"
"168",5,1,2,1,1,1,2,4,5,2,2,4,4,2,2,1,5,1,2,4,5,2,2,4,4,2,1,4,4,2,4,4,4,2,2,5,4,1,1,5,4,4,2,2,5,2,2,4,2,4,2,2,2,4,4,2,20,28,23,"F"
"169",3,1,3,3,1,1,5,3,5,5,5,3,5,2,4,4,3,4,4,5,2,2,4,1,3,5,5,5,4,2,5,5,3,5,5,5,4,3,3,5,4,5,5,1,4,2,1,1,2,3,3,1,2,1,1,2,17,17,26,"F"
"170",4,3,4,2,2,4,5,5,3,3,4,3,4,5,3,2,2,3,2,2,3,5,3,1,2,1,4,4,2,4,1,4,1,1,4,4,2,5,5,4,4,5,5,3,3,5,1,3,3,1,3,1,2,1,1,3,19,19,12,"M"
"171",4,1,2,1,1,1,4,2,5,2,2,1,4,2,2,1,4,1,2,5,3,2,2,1,4,2,1,4,2,1,1,4,3,2,1,4,4,2,1,5,4,3,3,4,5,2,2,4,4,5,4,2,3,2,2,4,23,32,0,"F"
"172",2,2,2,1,1,1,4,2,5,2,2,3,3,4,3,3,2,3,2,3,3,4,3,2,3,2,2,2,3,4,4,5,3,2,2,3,4,4,4,3,3,3,4,2,4,4,4,4,3,5,3,3,1,4,4,4,20,35,32,"F"
"173",3,1,2,1,1,1,3,2,5,2,3,3,5,3,2,1,5,2,2,5,4,3,4,1,2,2,2,4,2,4,3,4,3,4,2,3,4,4,1,1,3,3,1,4,2,3,1,3,2,4,2,1,2,2,4,3,20,24,22,"F"
"174",4,2,2,2,1,1,4,2,5,4,3,4,5,4,4,1,5,2,3,4,4,3,3,2,4,1,1,3,3,4,5,4,4,4,2,3,5,4,2,5,3,4,4,3,5,5,2,3,5,4,5,4,3,4,4,4,25,38,0,"F"
"175",3,1,1,2,1,1,3,1,4,4,4,3,5,3,4,2,5,4,2,5,5,4,4,3,2,3,4,5,5,4,5,5,5,5,4,5,1,4,4,4,3,4,2,2,4,4,2,2,4,3,2,1,3,1,1,2,20,21,20,"F"
"176",4,1,2,1,1,1,2,4,5,2,2,4,4,2,2,1,5,1,2,4,4,2,5,2,5,1,4,3,2,4,5,4,4,1,2,5,5,5,2,4,3,3,5,2,4,4,1,4,4,4,4,1,1,4,2,4,20,29,21,"F"
"177",3,2,1,1,1,1,5,1,4,3,5,3,3,2,4,1,4,3,3,3,3,3,3,1,5,3,4,1,3,3,5,5,3,5,3,2,5,5,3,4,3,5,5,3,4,3,1,4,1,3,1,1,1,1,2,4,19,19,23,"F"
"178",4,1,1,1,1,1,5,2,5,5,4,4,5,2,5,2,5,2,3,5,4,2,2,1,4,2,2,3,3,4,4,5,3,2,2,4,4,5,4,4,4,2,5,3,4,4,2,4,2,1,2,1,2,1,1,4,19,20,20,"F"
"179",4,1,3,3,2,2,2,4,4,2,2,2,2,2,3,1,4,1,4,4,4,4,2,2,2,2,2,1,2,4,1,5,2,1,3,4,4,5,2,4,2,4,5,3,4,5,4,4,4,5,4,4,4,5,4,4,22,42,28,"F"
"180",4,3,2,2,2,1,3,5,4,2,3,3,4,1,4,2,4,4,2,4,3,4,2,2,5,2,3,4,4,3,5,2,3,2,2,4,4,4,2,4,4,3,3,3,4,4,2,4,5,5,5,1,5,5,5,4,35,41,31,"M"
"181",3,1,2,2,1,2,4,2,5,4,2,2,4,2,2,4,4,1,2,4,4,4,4,5,4,1,4,2,2,4,4,5,2,1,2,1,4,5,2,4,5,4,5,4,5,5,2,5,5,4,4,2,4,2,4,5,18,37,18,"F"
"182",3,2,2,1,1,1,4,2,5,4,4,4,4,2,3,2,4,2,2,4,2,3,3,2,4,1,4,3,2,4,2,3,3,2,3,2,4,5,5,5,4,5,5,2,3,4,4,4,4,4,4,2,3,4,4,3,19,36,30,"F"
"183",4,1,2,1,1,1,5,2,5,4,2,4,5,4,4,3,5,4,2,4,5,3,3,1,2,3,2,3,4,3,2,5,2,2,1,5,5,4,3,5,4,4,5,3,4,4,2,3,1,3,1,1,1,1,2,3,21,18,19,"M"
